,Coefficient
Splice_total_ratio,-21.8914147116785
Recurrent_missense_fraction,-8.42653056455976
Lost_start_and_stop_fraction,8.079225739794
LOF_total_ratio,7.80088367625484
Early_replication_timing,-6.12158008857655
Missense_entropy,4.47306801418835
Super_enhancer_percentage,4.42309254860467
Nonsense_fraction,3.44005469572366
Frameshift_indel_fraction,-2.76694296011654
Splice_silent_ratio,-1.94807518397354
VEST_score,-1.49510794791424
pLI_score,1.4257745433387
Gene_body_hypermethylation_in_cancer,1.36750710340984
Missense_damaging_benign_ratio,1.36570427748881
Missense_MGAentropy,-1.26868687100903
pNull_score,-1.1446768663626
log_Total_N_missense_mutations,0.832643670602861
log_CDS_length,-0.658959018935735
Increase_of_cell_proliferation_by_CRISPR_Knock_down,-0.566349890937199
Exon_conservation_phastCons_score,-0.49667466453884
log_Total_N_of_splicing_mutations,0.46769303923838
Missense_benign_ratio,0.456314708927778
ncGERP_score,0.270083833037805
Height_of_H3K9me2_peaks,-0.218875745355543
Missense_o_e_constraint,-0.183295558294487
log_gene_length,0.15353267331573
Synonymous_o_e_constraint,-0.080909820096647
Gene_body_canyon_hypermethylation_in_cancer,0.0783626207799859
HiFI_missense_LoFI_missense_ratio,0.0612526907341292
log_Total_N_LoF_mutations,0.0507771227427695
Gene_expression_Z_score,-0.0400354823738339
Gene_age,0.0388756455414092
ncRVIS_score,-0.0326691503765605
Height_of_H3K4me1_peaks,-0.0245800829826512
Height_of_H3K9me3_peaks,-0.0226263946262434
Silent_mutations_kb,0.0205775056651037
Inframe_indel_fraction,0.0168837576789633
Height_of_H4K20me1_peaks,0.0127524541769671
Height_of_H3K27me3_peaks,-0.00991139946478871
Height_of_H3K9ac_peaks,-0.00935057112700939
Height_of_H3K36me3_peaks,-0.00813168948215198
RVIS_percentile,0.00764520201021218
Height_of_H3K27ac_peaks,0.00755751932029159
LoF_mutations_kb,0.00720996840552651
Family_member_count,-0.0055018906005443
LoF_o_e_constraint,-0.00234179674140366
Height_of_H3K4me2_peaks,-0.00173078058745936
Height_of_H3K4me3_peaks,-0.000750761654286501
H3K4me3_peak_length,0.00020865975447167
H3K4me2_peak_length,0.000167802281845475
H3K9me3_peak_length,-0.000166228670374911
Gene_damage_index,-0.000153122703768753
H3K79me2_peak_length,0.000120521850193741
H3K4me1_peak_length,9.5946158654075e-05
H3K27me3_peak_length,-8.40207531333995e-05
H3K9me2_peak_length,7.83102606686977e-05
H3K27ac_peak_length,7.14406900645319e-05
H3K36me3_peak_length,2.47822158956527e-06
Missense_mutations_kb,0
LOF_silent_ratio,0
Missense_silent_ratio,0
LOF_benign_ratio,0
Splice_benign_ratio,0
PolyPhen_2_score,0
Missense_total_ratio,0
LOF_missense_ratio,0
Silent_fraction,0
Inactivating_fraction,0
NonSilent_silent_ratio,0
CNA_deletion_percentage,0
Promoter_hypermethylation_in_cancer,0
Primate_dN_dS_ratio,0
H3K9ac_peak_length,0
Height_of_H3K79me2_peaks,0
H4K20me1_peak_length,0
