Sample_ID	Sample_illustration
22RV1_PROSTATE	Prostate carcinoma
2313287_STOMACH	Stomach carcinoma
253JBV_URINARY_TRACT	Urinary_tract carcinoma
253J_URINARY_TRACT	Urinary_tract carcinoma
42MGBA_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
5637_URINARY_TRACT	Urinary_tract carcinoma
59M_OVARY	Ovary carcinoma
639V_URINARY_TRACT	Urinary_tract carcinoma
647V_URINARY_TRACT	Urinary_tract carcinoma
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
769P_KIDNEY	Kidney carcinoma
786O_KIDNEY	Kidney carcinoma
8305C_THYROID	Thyroid carcinoma
8505C_THYROID	Thyroid carcinoma
8MGBA_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
A101D_SKIN	Skin malignant_melanoma
A1207_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
A172_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
A204_SOFT_TISSUE	Soft_tissue
A2058_SKIN	Skin malignant_melanoma
A253_SALIVARY_GLAND	Salivary_gland carcinoma
A2780_OVARY	Ovary carcinoma
A375_SKIN	Skin malignant_melanoma
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
A427_LUNG	NA NA
A498_KIDNEY	Kidney carcinoma
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
A549_LUNG	Lung carcinoma
A673_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
A704_KIDNEY	Kidney carcinoma
ABC1_LUNG	Lung carcinoma
ACCMESO1_PLEURA	Pleura mesothelioma
ACHN_KIDNEY	Kidney carcinoma
AGS_STOMACH	Stomach carcinoma
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
AM38_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
AN3CA_ENDOMETRIUM	Endometrium carcinoma
ASPC1_PANCREAS	Pancreas carcinoma
AU565_BREAST	Breast carcinoma
BC3C_URINARY_TRACT	Urinary_tract carcinoma
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
BCPAP_THYROID	Thyroid carcinoma
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
BEN_LUNG	Lung carcinoma
BFTC905_URINARY_TRACT	Urinary_tract carcinoma
BFTC909_KIDNEY	Kidney carcinoma
BHT101_THYROID	Thyroid carcinoma
BHY_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR16_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR18_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR22_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR31_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR56_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BICR6_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
BT12_SOFT_TISSUE	NA NA
BT20_BREAST	Breast carcinoma
BT474_BREAST	Breast carcinoma
BT483_BREAST	Breast carcinoma
BT549_BREAST	Breast carcinoma
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
BXPC3_PANCREAS	Pancreas carcinoma
C2BBE1_LARGE_INTESTINE	Large_intestine carcinoma
C32_SKIN	Skin malignant_melanoma
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
CACO2_LARGE_INTESTINE	NA NA
CADOES1_BONE	Bone Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
CAKI1_KIDNEY	Kidney carcinoma
CAKI2_KIDNEY	Kidney carcinoma
CAL120_BREAST	Breast carcinoma
CAL12T_LUNG	Lung carcinoma
CAL148_BREAST	Breast carcinoma
CAL27_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
CAL29_URINARY_TRACT	Urinary_tract carcinoma
CAL33_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
CAL51_BREAST	Breast carcinoma
CAL54_KIDNEY	Kidney carcinoma
CAL62_THYROID	Thyroid carcinoma
CAL78_BONE	Bone chondrosarcoma
CAL851_BREAST	Breast carcinoma
CALU1_LUNG	Lung carcinoma
