Sample_name	Cell_line
ENCFF001VCR	K562
ENCFF001VDB	NT2/D1
ENCFF001VDE	Panc1
ENCFF001VDG	Mononuclear cell
ENCFF001WUN	A549
ENCFF001WUO	A549
ENCFF001WUR	AG04449
ENCFF001WUS	AG04449
ENCFF001WVD	AG04450
ENCFF001WVE	AG04450
ENCFF001WVH	AG09309
ENCFF001WVI	AG09309
ENCFF001WVL	AG09319
ENCFF001WVM	AG09319
ENCFF001WVP	AG10803
ENCFF001WVQ	AG10803
ENCFF001WVT	Fibroblast of the aortic adventitia
ENCFF001WVU	Fibroblast of the aortic adventitia
ENCFF001WVX	BE2C
ENCFF001WVY	BE2C
ENCFF001WWJ	BJ
ENCFF001WWK	BJ
ENCFF001WWV	Caco-2
ENCFF001WWW	Caco-2
ENCFF001WWZ	B cell
ENCFF001WXA	B cell
ENCFF001WXC	B cell
ENCFF001WXN	GM06990
ENCFF001WXO	GM06990
ENCFF001WXR	GM12864
ENCFF001WXS	GM12864
ENCFF001WXV	GM12865
ENCFF001WXW	GM12865
ENCFF001WYA	GM12875
ENCFF001WYL	GM12878
ENCFF001WYM	GM12878
ENCFF001WYP	Cardiac muscle cell
ENCFF001WYQ	Cardiac muscle cell
ENCFF001WYT	Mesodermal cell
ENCFF001WYU	Mesodermal cell
ENCFF001WYX	Cardiovascular progenitor cell
ENCFF001WYY	Cardiovascular progenitor cell
ENCFF001WZB	Cardiac myoblast
ENCFF001WZC	Cardiac myoblast
ENCFF001XAT	H7
ENCFF001XAU	H7
ENCFF001XAX	Astrocyte of the cerebellum
ENCFF001XAY	Astrocyte of the cerebellum
ENCFF001XBB	Astrocyte of the spinal cord
ENCFF001XBC	Astrocyte of the spinal cord
ENCFF001XBF	Brain microvascular endothelial cell
ENCFF001XBG	Brain microvascular endothelial cell
ENCFF001XBJ	Cardiac fibroblast
ENCFF001XBK	Cardiac fibroblast
ENCFF001XBM	Cardiac fibroblast
ENCFF001XBP	Cardiac muscle cell
ENCFF001XBQ	Cardiac muscle cell
ENCFF001XBT	Choroid plexus epithelial cell
ENCFF001XBU	Choroid plexus epithelial cell
ENCFF001XBX	HCT116
ENCFF001XBY	HCT116
ENCFF001XCB	Epithelial cell of esophagus
ENCFF001XCC	Epithelial cell of esophagus
ENCFF001XCF	HEK293
ENCFF001XCG	HEK293
ENCFF001XCR	HeLa-S3 G1b phase
ENCFF001XCS	HeLa-S3 G1b phase
ENCFF001XDD	HepG2
ENCFF001XDE	HepG2
ENCFF001XDG	Foreskin fibroblast
ENCFF001XDJ	HFF-Myc
ENCFF001XDK	HFF-Myc
ENCFF001XDN	HL-60
ENCFF001XDO	HL-60
ENCFF001XDT	Mammary epithelial cell
ENCFF001XDU	Mammary epithelial cell
ENCFF001XDX	Fibroblast of mammary gland
ENCFF001XDY	Fibroblast of mammary gland
ENCFF001XEB	Fibroblast of pulmonary artery
ENCFF001XEC	Fibroblast of pulmonary artery
ENCFF001XEF	Fibroblast of lung
ENCFF001XEG	Fibroblast of lung
ENCFF001XER	Kidney epithelial cell
ENCFF001XES	Kidney epithelial cell
ENCFF001XEV	Retinal pigment epithelial cell
ENCFF001XEW	Retinal pigment epithelial cell
ENCFF001XFI	Endothelial cell of umbilical vein
ENCFF001XFL	Fibroblast of villous mesenchyme
ENCFF001XFM	Fibroblast of villous mesenchyme
ENCFF001XFP	Jurkat clone E61
ENCFF001XFQ	Jurkat clone E61
ENCFF001XGV	K562
ENCFF001XGW	K562
ENCFF001XGZ	LNCaP clone FGC
ENCFF001XHA	LNCaP clone FGC
ENCFF001XHC	MCF-7
ENCFF001XHE	MCF-7
ENCFF001XHG	CD14-positive monocyte
ENCFF001XHK	NB4
ENCFF001XHN	Foreskin fibroblast
