,Coefficient
Inframe_indel_fraction,4.56147913745427
LOF_total_ratio,4.09812288515108
Super_enhancer_percentage,3.31037530790933
Exon_conservation_phastCons_score,3.16781402249594
VEST_score,2.42832033649446
Missense_entropy,1.77961164556315
Increase_of_cell_proliferation_by_CRISPR_Knock_down,-1.36783837712518
Recurrent_missense_fraction,-0.698215473290386
log_Total_N_LoF_mutations,0.502605616730825
CNA_deletion_percentage,0.346730857012503
Gene_body_hypermethylation_in_cancer,-0.287496299968511
pLI_score,0.283298800028704
Missense_silent_ratio,0.270425005284306
Synonymous_o_e_constraint,-0.153294069368065
Early_replication_timing,-0.109733840492735
ncRVIS_score,-0.103866216718027
log_Total_N_of_splicing_mutations,0.0484140642998204
Height_of_H3K9me2_peaks,0.0479043283271034
Gene_age,-0.0434057702571739
Height_of_H4K20me1_peaks,0.0273040612062894
Gene_expression_Z_score,-0.0166727958724992
Height_of_H3K4me1_peaks,0.0157307857560629
Height_of_H3K79me2_peaks,0.00948462467616307
Missense_mutations_kb,0.00621975155751241
Silent_mutations_kb,0.00587176469491541
Height_of_H3K4me2_peaks,0.00558153464504342
Height_of_H3K36me3_peaks,0.00361512235305347
Height_of_H3K27ac_peaks,0.00326549160724386
HiFI_missense_LoFI_missense_ratio,-0.00228601042838182
Height_of_H3K9ac_peaks,0.00195016387216598
Height_of_H3K4me3_peaks,0.000401369525290407
H3K4me3_peak_length,0.000237971080233743
H3K36me3_peak_length,0.000223404825635883
H3K4me2_peak_length,0.000182383591740025
H3K4me1_peak_length,0.000118378841738972
H3K9me3_peak_length,-0.000105393814330392
H3K79me2_peak_length,1.22735218488323e-05
log_Total_N_missense_mutations,0
LoF_mutations_kb,0
LOF_silent_ratio,0
Splice_silent_ratio,0
LOF_benign_ratio,0
Splice_benign_ratio,0
Missense_benign_ratio,0
Missense_damaging_benign_ratio,0
PolyPhen_2_score,0
Missense_total_ratio,0
Splice_total_ratio,0
LOF_missense_ratio,0
Silent_fraction,0
Nonsense_fraction,0
Frameshift_indel_fraction,0
Lost_start_and_stop_fraction,0
Inactivating_fraction,0
NonSilent_silent_ratio,0
log_gene_length,0
log_CDS_length,0
Missense_MGAentropy,0
Promoter_hypermethylation_in_cancer,0
Gene_body_canyon_hypermethylation_in_cancer,0
pNull_score,0
Missense_o_e_constraint,0
LoF_o_e_constraint,0
Primate_dN_dS_ratio,0
Gene_damage_index,0
RVIS_percentile,0
ncGERP_score,0
Family_member_count,0
H3K27ac_peak_length,0
H3K27me3_peak_length,0
Height_of_H3K27me3_peaks,0
Height_of_H3K9me3_peaks,0
H3K9ac_peak_length,0
H3K9me2_peak_length,0
H4K20me1_peak_length,0
