Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
NR2F2	chr15	96869167	96881847	+	NA	CHTD4,COUPTFB,COUPTFII,NF-E3,SVP40,TFCOUP2,COUP-TFII	nuclear receptor subfamily 2 group F member 2	gene with protein product	15q26.2	ENSG00000185551	NM_001145155	8530078|11544252
TNRC18	chr7	5346421	5463177	-	NA	CAGL79,TNRC18A,KIAA1856	trinucleotide repeat containing 18	gene with protein product	7p22.1	ENSG00000182095	NM_001080495	9225980
MEIS1	chr2	66662532	66801001	+	NA	NA	Meis homeobox 1	gene with protein product	2p14	ENSG00000143995	NM_002398	7565694
ZEB2	chr2	145141648	145278624	-	NA	SIP-1,HSPC082,SMADIP1,ZFHX1B,KIAA0569,ZFX1B	zinc finger E-box binding homeobox 2	gene with protein product	2q22.3	ENSG00000169554	NM_014795	
BCL6	chr3	187439165	187463515	-	CGC OG	BCL5,BCL6A,LAZ3,ZBTB27,ZNF51	B-cell CLL/lymphoma 6	gene with protein product	3q27.3	ENSG00000113916	NM_001706	
IRF2BP2	chr1	234740015	234745271	-	NA	IRF-2BP2	interferon regulatory factor 2 binding protein 2	gene with protein product	1q42.3	ENSG00000168264	NM_182972	12799427
ZNF503	chr10	77157588	77161664	-	NA	NLZ2,NOLZ-1,NOLZ1,FLJ45745,MGC2555	zinc finger protein 503	gene with protein product	10q22.2	ENSG00000165655	NM_032772	19014486
WNT5A	chr3	55499743	55523973	-	NA	HWNT5A,WNT-5A PROTEIN	Wnt family member 5A	gene with protein product	3p14.3	ENSG00000114251	NM_003392	8288227
KDM6B	chr17	7743222	7758114	+	NA	JMJD3,KIAA0346	lysine demethylase 6B	gene with protein product	17p13.1	ENSG00000132510	XM_043272	10662545|9205841
IRS1	chr2	227596033	227664475	-	NA	HIRS-1	insulin receptor substrate 1	gene with protein product	2q36.3	ENSG00000169047	NM_005544	1648180
BRD2	chr6	32936437	32949282	+	NA	D6S113E,FSH,FSRG1,NAT,O27.1.1,RING3,KIAA9001,BRD2-IT1	bromodomain containing 2	gene with protein product	6p21.32	ENSG00000204256	NM_001113182	1352711|8781126
NR2F1	chr5	92919043	92930321	+	NA	BBOAS,BBSOAS,COUP-TFI,EAR-3,EAR3,ERBAL3,SVP44,TCFCOUP1,TFCOUP1	nuclear receptor subfamily 2 group F member 1	gene with protein product	5q15	ENSG00000175745	NM_005654	8530078
PLEC	chr8	144989321	145050902	-	NA	PCN,EBS1,EBSMD,EBSND,EBSO,EBSOG,EBSPA,LGMD2Q,PLEC1,PLEC1B,PLTN	plectin	gene with protein product	8q24.3	ENSG00000178209	NM_000445	8633055|8696340
RGMB	chr5	98104999	98132198	+	NA	DRAGON,FLJ90406	repulsive guidance molecule family member b	gene with protein product	5q15	ENSG00000174136	NM_173670	19324014
MLL5	chr7	104654637	104754808	+	NA	KMT2E	NA	gene with protein product	7q22.3	ENSG00000005483	NM_018682	NA
MEIS2	chr15	37181405	37393406	-	NA	HST18361	Meis homeobox 2	gene with protein product	15q14	ENSG00000134138	NM_170677	9383298
ZFP36L2	chr2	43449541	43453748	-	NA	BRF2,ERF-2,ERF2,RNF162C,TIS11D	ZFP36 ring finger protein like 2	gene with protein product	2p21	ENSG00000152518	NM_006887	7835719|8545129|14981510|17172869
ZFP36L1	chr14	69256662	69262970	-	NA	BERG36,BRF1,CMG1,ERF-1,RNF162B,TIS11B	ZFP36 ring finger protein like 1	gene with protein product	14q24.1	ENSG00000185650	NM_001244698	8024689
BTG1	chr12	92534054	92539673	-	CGC TSG	APRO2	BTG anti-proliferation factor 1	gene with protein product	12q21.33	ENSG00000133639	NM_001731	15033446
TGIF1	chr18	3411925	3458404	+	NA	TGIF,HPE4	TGFB induced factor homeobox 1	gene with protein product	18p11.31	ENSG00000177426	NM_170695	8537382|10835638
ACTG1	chr17	79478372	79490873	-	NA	ACTG,BRWS2,DFNA20,DFNA26,HEL-176	actin gamma 1	gene with protein product	17q25.3	ENSG00000184009	NM_001614	14684684
FOSL2	chr2	28615669	28640179	+	NA	FRA2,FLJ23306	FOS like 2, AP-1 transcription factor subunit	gene with protein product	2p23.2	ENSG00000075426	NM_005253	
TSC22D2	chr3	150126122	150184218	+	NA	TILZ4A,TILZ4B,TILZ4C,KIAA0669,TILZ4	TSC22 domain family member 2	gene with protein product	3q25.1	ENSG00000196428	NM_014779	9734811
NR3C1	chr5	142657496	142815077	-	NA	GCCR,GCR,GCRST,GR,GRL	nuclear receptor subfamily 3 group C member 1	gene with protein product	5q31.3	ENSG00000113580	NM_000176	2867473
PTCH1	chr9	98205266	98279247	-	CGC TSG	BCNS,HPE7,NBCCS,PTC1,PTCH,PTCH11	patched 1	gene with protein product	9q22.32	ENSG00000185920	NM_000264	8658145
LMNA	chr1	156052369	156107656	+	NA	CDCD1,CDDC,CMD1A,CMT2B1,EMD2,FPL,FPLD,FPLD2,HGPS,IDC,LDP1,LFP,LGMD1B,LMN1,LMNC,LMNL1,PRO1	lamin A/C	gene with protein product	1q22	ENSG00000160789	NM_170707	8511676|8838815|12702809
TBX3	chr12	115108059	115121969	-	CGC TSG/OG	TBX3-ISO,UMS,XHL	T-box 3	gene with protein product	12q24.21	ENSG00000135111	NM_016569|NM_005996	8988164
BAHCC1	chr17	79369275	79433357	+	NA	BAHD2,KIAA1447	BAH domain and coiled-coil containing 1	gene with protein product	17q25.3	ENSG00000266074	NM_001291324	10819331
HIF1A	chr14	62162258	62214976	+	CGC OG	BHLHE78,HIF-1-ALPHA,HIF-1A,HIF-1ALPHA,HIF1-ALPHA,MOP1,PASD8	hypoxia inducible factor 1 alpha subunit	gene with protein product	14q23.2	ENSG00000100644	NM_001530	8786149|9079689
ANXA2	chr15	60639333	60690185	-	NA	ANX2,ANX2L4,CAL1H,HEL-S-270,LPC2,LPC2D,P36,PAP-IV	annexin A2	gene with protein product	15q22.2	ENSG00000182718	NM_001002857	7961821
FLRT2	chr14	85996488	86120770	+	NA	KIAA0405	fibronectin leucine rich transmembrane protein 2	gene with protein product	14q31.3	ENSG00000185070	NM_013231	10644439|16872596
LMO4	chr1	87794151	87814606	+	NA	CSRP3	LIM domain only 4	gene with protein product	1p22.3	ENSG00000143013	NM_006769	
PTEN	chr10	89622870	89731687	+	CGC TSG	10Q23DEL,BZS,CWS1,DEC,GLM2,MHAM,MMAC1,PTEN1,TEP1	phosphatase and tensin homolog	gene with protein product	14q11.2	ENSG00000129566	NM_007110	9090379
SLC38A2	chr12	46751972	46766650	-	NA	ATA2,SAT2,SNAT2,KIAA1382	solute carrier family 38 member 2	gene with protein product	12q13.11	ENSG00000134294	NM_001307936	10747860|17237199
SMAD7	chr18	46446223	46477081	-	NA	MADH7,CRCS3,MADH8	SMAD family member 7	gene with protein product	18q21.1	ENSG00000101665	NM_005904	9256479|9730599
SSSCA1	chr11	65338153	65341413	+	NA	P27	Sjogren syndrome/scleroderma autoantigen 1	gene with protein product	11q13.1	ENSG00000173465	NM_006396	9486406
ARHGEF2	chr1	155916646	155972355	-	NA	GEF-H1,GEFH1,LFP40,KIAA0651,P40	Rho/Rac guanine nucleotide exchange factor 2	gene with protein product	1q22	ENSG00000116584	NM_004723	9857026|9734811
HS3ST3B1	chr17	14204400	14252721	+	NA	3-OST-3B,3OST3B1,H3-OST-3B,30ST3B1,HS3ST3B	heparan sulfate-glucosamine 3-sulfotransferase 3B1	gene with protein product	17p12	ENSG00000125430	NM_006041	9988767
PDGFRA	chr4	55095264	55164414	+	CGC OG	CD140A,GAS9,PDGFR-2,PDGFR2,RHEPDGFRA	platelet derived growth factor receptor alpha	gene with protein product	4q12	ENSG00000134853	NM_006206	8643452
ZNF608	chr5	123972610	124081118	-	NA	NY-REN-36,DKFZP434M098,KIAA1281	zinc finger protein 608	gene with protein product	5q23.2	ENSG00000168916	XM_114432	10574462|10508479
ID2	chr2	8818975	8824583	+	NA	BHLHB26,GIG8,ID2A,ID2H,CELL GROWTH-INHIBITING GENE 8	inhibitor of DNA binding 2, HLH protein	gene with protein product	2p25.1	ENSG00000115738	NM_002166	8294468
IRX5	chr16	54964774	54968397	+	NA	HMMS,IRX-2A,IRXB2,IRX2A	iroquois homeobox 5	gene with protein product	16q12.2	ENSG00000176842	NM_001252197	
DUSP6	chr12	89741009	89747048	-	NA	HH19,MKP3,PYST1,MKP-3	dual specificity phosphatase 6	gene with protein product	12q21.33	ENSG00000139318	NM_001946|NM_022652	8626780|9205128
ARID2	chr12	46123448	46301823	+	CGC TSG	BAF200,DKFZP686G052,FLJ30619,KIAA1557	AT-rich interaction domain 2	gene with protein product	12q12	ENSG00000189079	NM_152641	
NRP1	chr10	33466420	33625190	-	NA	NELL1,NP1,BDCA4,CD304,VEGF165R	neuropilin 1	gene with protein product	10p11.22	ENSG00000099250	NM_001024628	9529250|9331348
TRIM8	chr10	104404253	104418164	+	NA	GERP,RNF27	tripartite motif containing 8	gene with protein product	10q24.32	ENSG00000171206	NM_030912	11118312|12163497
AHNAK	chr11	62201018	62314268	-	NA	AHNAKRS,MGC5395,PM227,DESMOYOKIN	AHNAK nucleoprotein	gene with protein product	11q12.3	ENSG00000124942	NM_024060	7987395|12153988
ADM	chr11	10326227	10328944	+	NA	AM	adrenomedullin	gene with protein product	11p15.4	ENSG00000148926	NM_001124	7688224
SPRY2	chr13	80910111	80915086	-	NA	HSPRY2,IGAN3	sprouty RTK signaling antagonist 2	gene with protein product	13q31.1	ENSG00000136158	NM_001318536	9458049
FOXO3	chr6	108881038	109005977	+	CGC TSG/OG	AF6Q21,FKHRL1,FKHRL1P2,FOXO2,FOXO3A,GN   FOXO3A	forkhead box O3	gene with protein product	6q21	ENSG00000118689	NM_001455	9479491
FN1	chr2	216225177	216300895	-	NA	CIG,ED-B,FINC,FN,FNZ,GFND,GFND2,LETS,COLD-INSOLUBLE GLOBULIN	fibronectin 1	gene with protein product	2q35	ENSG00000115414	NM_212476	2992939|3003095
KLF6	chr10	3818189	3827473	-	CGC TSG	CBA1,COPEB,CPBP,GBF,ST12,ZF9	Kruppel like factor 6	gene with protein product	10p15.2	ENSG00000067082	NM_001160124	9503030|9685731
PCDH7	chr4	30723976	31148427	+	NA	BH-PCDH,BHPCDH,PPP1R120,PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 120	protocadherin 7	gene with protein product	4p15.1	ENSG00000169851	NM_032457|NM_002589	9615233
MARCKS	chr6	114178541	114184648	+	NA	80K-L,MACS,PKCSL,PRKCSL	myristoylated alanine rich protein kinase C substrate	gene with protein product	6q21	ENSG00000277443	NM_002356	1560845|8420923
BHLHE40	chr3	5020801	5027008	+	NA	BHLHB2,CLAST5,DEC1,HLHB2,SHARP-2,SHARP2,STRA13,STRA14,BHLHE40	basic helix-loop-helix family member e40	gene with protein product	9q33.1	ENSG00000173077	NM_017418	9240428|10449910|18557763
CYR61	chr1	86046444	86049645	+	NA	GIG1,IGFBP10	cysteine rich angiogenic inducer 61	gene with protein product	1p22.3	ENSG00000142871	NM_001554	9135077
